,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
17,Florida,119.494,94.906,0.934,8–4,8,12,51.6,45.4,42,34.4,18.7,15.7,43.8,24,73.1,58.6,45.1,28.2,30.6,12.1,8.7,53.3,46.1,42.5,33.4,70.837,78.878,83.03,1.919,"2,026",0,0,41.399,,71.2,70.6,1.154,0.962,30.913,Florida
18,Iowa,121.342,96.746,0.931,10–2,10,12,60.8,47.4,40.4,39.6,15.6,24.2,32.3,29,64.7,61.6,48.6,39.8,30.4,7.1,7.5,61.5,46.1,39.7,38.1,64.311,78.454,80.849,1.737,"2,026",0,0,14.006,,73.3,69.1,1.245,0.926,20.699,Iowa
19,St. John's,119.978,95.768,0.93,7–4,7,11,53,46.1,47.3,27.6,17.5,21,37.4,35.6,74.3,54,46.7,34.1,30,13.2,9.2,56.2,45.4,36.7,33.9,71.586,78.147,80.41,2.23,"2,026",0,0,68.489,,74.1,75,1.155,0.979,27.459,St. John's
20,Indiana,119.178,96.268,0.921,9–3,9,12,57.7,43.8,38.1,36.7,15.2,17.7,29.7,27.4,70.7,61.5,42.7,36,30.7,7.4,11.2,68.8,43.2,50.7,32.2,69.527,78.026,80.475,2.547,"2,026",0,0,26.96,,76.2,73.4,1.203,0.942,18.654,Indiana
21,North Carolina,118.327,96.898,0.909,11–1,11,12,53.9,42.3,39.9,23.6,14.4,13.2,34.6,26.5,68.7,57.7,41.3,32.5,29.5,9.8,9.6,61.3,46.8,42.6,34.6,67.826,79.486,82.776,1.412,"2,026",0,0,60.342,,68.9,71.7,1.164,0.941,22.16,North Carolina
22,Arkansas,122.266,100.276,0.907,9–3,9,12,56,48.3,40.5,26,13.4,16.2,32.8,31.3,73.4,55,50.9,38.3,30,12,5.4,57.8,53,38.1,42.8,72.442,78.382,81.164,1.422,"2,026",0,0,80.171,,75.4,67.3,1.219,1.02,28.636,Arkansas
23,Kentucky,118.09,96.858,0.907,8–4,8,12,54.2,44.3,32.5,31.3,14.5,16.8,34.4,25.5,70.6,58.6,45.4,31.8,28.4,13.2,7.3,59.3,60.9,40.7,41.8,69.617,78.747,81.911,1.482,"2,026",0,0,84.567,,75.2,72.8,1.186,0.939,30.465,Kentucky
24,Nebraska,119.211,97.847,0.906,12–0,12,12,57,45.7,29,21.3,13.5,18,27.2,27.5,70.5,61.7,46.3,34.9,30.1,8.4,9.5,64.3,57.7,50.1,51.2,69.45,77.689,80.706,2.266,"2,026",0,0,42.62,,74.3,73.8,1.182,0.952,18.78,Nebraska
25,N.C. State,122.331,100.561,0.905,9–4,9,13,58.2,50.2,35.3,39.2,14.2,19.6,29.8,25.8,71.1,57.8,51.5,39.1,32.6,10.6,9.3,57.4,53.5,46.3,48.6,71.101,77.799,79.645,2.185,"2,026",0,0,59.265,,76,70.4,1.231,1.006,22.433,N.C. State
26,Virginia,123.934,101.906,0.905,10–1,10,11,57.3,45.3,40.6,36.6,14.9,17.4,41.7,31.4,67.9,55.5,43.9,39.7,32,18.1,6.4,57.7,47.5,44.2,34.2,67.866,77.981,82.139,1.649,"2,026",0,0,54.512,,68.6,71.4,1.273,1,15.069,Virginia
27,Georgia,120.562,99.998,0.896,10–1,10,11,57,45,42.2,28.2,14.7,21.3,38,31.5,78.1,65,44.3,31.3,30.8,18.9,7.8,50.7,46.9,44.8,36.4,76.748,77.552,81.478,1.581,"2,026",0,0,60.025,,77.5,63.1,1.261,0.908,11.912,Georgia
28,UCLA,121.593,101.18,0.892,9–3,9,12,55.9,49,37.1,35.3,15.2,20.5,32.5,32.3,68,53.5,50.4,40.3,31.5,11.6,6.5,59.1,58.9,35.2,43.3,66.224,78.127,81.439,2.382,"2,026",0,0,68.479,,75.4,74.6,1.183,1.019,22.417,UCLA
29,Saint Mary's,115.878,96.58,0.89,9–2,9,11,52.6,45.5,42.2,26.8,18,16.1,37.9,26,68.7,52.2,45.7,35.7,30,8.6,7.6,54.5,50.6,34.2,36.7,68.425,78.592,82.308,1.416,"2,026",0,0,32.846,,81,74.7,1.15,0.974,20.618,Saint Mary's
30,Clemson,117.845,98.838,0.883,10–3,10,13,52.9,45.6,39.5,33.3,13.6,16.2,33.4,25.5,67.1,54.6,49.1,33.6,27.3,8.1,11.1,54.7,44.4,42.6,43.3,65.512,78.082,81.567,2.18,"2,026",0,0,46.692,,73.9,71.8,1.175,0.971,22.829,Clemson
31,Utah St.,118.568,99.494,0.883,9–1,9,10,57.7,48.9,37.8,39.9,17.3,23.5,37.6,30.7,68.9,59.4,49,36.4,32.5,9.9,10.4,58.7,46.4,36.4,46,69.985,77.538,80.837,2.232,"2,026",0,0,22.529,,70.7,69.9,1.196,0.974,16.954,Utah St.
