rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
21,Arkansas,SEC,8-2,121.8359905014222,16,99.23170504996564,34,0.9137265654261099,21,21.139754483962164,9.860245516037836,10.906175615196213,7.093824384803784,0-0,0.5646412938401482,0.5646412938401482,0,0.7298617428988284,0.5629423019725767,0.850414672456677,0.6376554876540912,0.7293095541470207,110.79995971625647,105.02938650477718,116.1225658763295,103.31180932414243,0.0,0.0,127.92513383124665,99.66770136316808,0.9463657186547464,4.0,0.05275326817241366,0.0,0.0,0.0,0,0,0.850414672456677,0,1.3586128000516962,21,109,70.95460420759795
22,Nebraska,B10,11-0,120.0613031230005,25,98.21082276885781,25,0.9097174274727365,22,23.618042409409988,7.381957590590007,12.63723228316925,7.3627677168307475,2-0,0.5671367179984058,0.4967146544781701,0.8840360038394665,0.686576088670853,0.42754960316307705,0.8290406557001294,0.6780474198757498,0.8894242902229804,110.82402298506896,107.27229146979948,114.16517223254182,103.92605390038509,138.242907034508,95.16419369829816,146.99976844607,104.76060708244134,0.9800751540857877,1.0,0.18764001435988942,173.0,140.0,132.825,1.3024656502917373,1.0540184453227932,0.8229300614624252,1.0,3.06082987440466,7,6,69.73515521247614
23,Virginia,ACC,9-1,123.7420537100347,7,101.27196928583703,53,0.9092473524102422,23,23.56005991900246,7.439940080997537,12.078939085913087,5.9210609140869135,0-0,0.4548609323377913,0.4548609323377913,0,0.6575628137330267,0.48218207094161686,0.7842266835268225,0.7296594692464673,0.8376638443389265,107.35083078828836,109.65318073794349,112.33801786361758,104.54936651981073,0.0,0.0,143.99762641013996,92.71592064582318,0.9937129165627204,1.0,0.04467107783668567,0.0,0.0,0.0,0,0,0.7842266835268225,0,1.2095736824539634,23,118,67.79169529377576
24,North Carolina,ACC,9-1,118.26203038851867,42,97.1636786453,18,0.9054939404314037,24,22.76317327463798,8.23682672536202,11.259099979111118,6.7409000208888825,0-0,0.5188267061656591,0.5188267061656591,0,0.6847747961457981,0.5172926545191245,0.8057341206539509,0.6899744233673658,0.7958957996252102,107.61666463677086,105.50059703929688,112.78684776207169,102.96191621416261,0.0,0.0,122.87672183589571,100.35761060516178,0.9111760090084409,3.0,0.10711805797370733,0.0,0.0,0.0,0,0,0.8057341206539509,0,1.7902064859594615,16,47,68.65573781666912
25,UCLA,B10,7-3,120.15948276554258,23,99.07455399090074,30,0.9019333547761104,25,20.08150258241652,10.918497417583481,12.307650116977442,7.69234988302256,2-0,0.5364948359315409,0.47177300175501374,0.7953821726376494,0.6913361303550343,0.4560402700068469,0.8207488535465377,0.6638923928456848,0.8177159141372058,110.09475692654023,106.5553005415901,114.56590690019004,103.6214988038644,131.20829571960888,104.37384280000828,125.45264330251689,102.16285714024015,0.9138551495253062,3.0,-0.0602920117122987,156.0,143.0,125.73750000000001,1.2406799880703847,1.1372899890645192,0.8235673736475252,1.0,0.1014496892490204,57,255,65.377809124281
26,Kentucky,SEC,7-4,118.0596465125422,46,97.50400584598427,20,0.9002414194456031,26,18.019030554879297,12.980969445120705,9.642986977509107,8.357013022490893,0-0,0.5195773965274247,0.5195773965274247,0,0.7197932509398988,0.5247967807599024,0.8606240349587847,0.611778385463249,0.7177937644842616,109.02727345046009,105.84006783450512,115.55253103483248,102.90877461282841,0.0,0.0,111.4810582939725,101.97866977047454,0.735857309992992,5.0,-0.0871773080537882,0.0,0.0,0.0,0,0,0.8606240349587847,0,-0.27146506867933573,73,306,69.55532772578846
27,Georgia,SEC,9-1,120.10192892060113,24,99.23639442904721,35,0.8997647647984008,27,22.24866380078998,8.75133619921002,10.314268397306352,7.685731602693649,0-0,0.43953269932501227,0.43953269932501227,0,0.6532522465643666,0.3863068810788448,0.8460461216372434,0.7063024022113993,0.8900266534487277,104.79000918569982,107.98648010950338,112.51739409947949,104.49431364127284,0.0,0.0,123.6638707773815,106.39591901569905,0.8493611668480341,1.0,0.036683868099341765,0.0,0.0,0.0,0,0,0.8460461216372434,0,1.0072515278517613,32,129,76.42767443344718
28,Saint Mary's,WCC,9-1,116.23691207041337,61,97.14049503607666,17,0.8873475572356238,28,25.002195065106502,5.9978049348934945,13.68845735494985,4.311542645050153,0-0,0.5214026388196416,0.5214026388196416,0,0.5754355228616929,0.5600200052495159,0.5865689522482649,0.7955993991851905,0.8203419290013654,110.86523856355619,106.43057055302201,110.46401353742974,105.33265166161554,0.0,0.0,109.03321473276006,110.47884814456492,0.46220410354124686,1.0,0.08547042340204314,0.0,0.0,0.0,0,0,0.5865689522482649,0,1.404872838150097,20,74,66.67580553031222
29,N.C. State,ACC,7-4,121.32374251332408,21,101.69013800818499,59,0.883923425956518,29,19.368275293429242,11.631724706570758,10.71384884415182,7.28615115584818,0-0,0.6290544621907209,0.6290544621907209,0,0.7193246670033849,0.6082615010723986,0.7995369535090973,0.690223664772781,0.7756158380595551,111.090440262662,104.9626909888134,113.63069125961394,102.79545072578853,0.0,0.0,122.72067803732726,105.46065097778533,0.8510790000063647,4.0,-0.10118896598522087,0.0,0.0,0.0,0,0,0.7995369535090973,0,-0.3699014711737812,77,321,70.73929695802958
30,Texas Tech,B12,7-3,119.4398161789068,34,100.32822438760515,43,0.8813423754506133,30,18.494848727970243,12.505151272029753,9.425677288162715,8.574322711837286,0-0,0.644027697831705,0.644027697831705,0,0.7538723955089864,0.6410505939129612,0.8353548077727825,0.6196356650230875,0.7009995748688232,114.42719790764849,105.37977228630682,116.20638821235943,102.07964217619325,0.0,0.0,120.26286524902955,99.7818065282311,0.8953863507703359,5.0,0.028711820043587744,0.0,0.0,0.0,0,0,0.8353548077727825,0,0.8474570161043521,35,133,67.8097489717635
31,Miami FL,ACC,9-2,117.14889736652901,51,99.15169761416328,33,0.8719308677713918,31,22.062566076527027,8.93743392347297,11.147136661926696,6.852863338073305,0-0,0.44427098503233053,0.44427098503233053,0,0.6108244268375795,0.41655499635830223,0.751130126628169,0.7431227570967486,0.8428193560456577,107.13936676487296,109.32942339730943,110.95814536236358,105.33965799672221,0.0,0.0,108.60833074464176,92.3276456744424,0.8661863294657044,3.0,0.02507162042826483,0.0,0.0,0.0,0,0,0.751130126628169,0,0.6185791104044127,41,138,71.2460932556631
32,Ohio St.,B10,8-2,119.68944234089611,30,101.33758927212642,54,0.8714784406241792,32,19.036142523640184,11.963857476359811,10.24776008688873,9.75223991311127,1-1,0.511182205678882,0.41950118863683944,0.8779062738470522,0.7104500196052824,0.489928389869198,0.831736915960129,0.6573523837865957,0.8212976162348777,109.29713239710695,108.45438656694137,114.92391528524278,103.3140247937518,124.47476837971516,107.68377699919836,121.81143937947984,106.42985187319846,0.8252548981135116,3.0,0.016047292148504422,166.0,170.0,141.1125,1.176366374346709,1.2047125520418105,0.8266069873060267,0.5,0.5648674910735156,45,151,69.8380898952304
33,USC,B10,9-1,120.02191404750921,26,101.72738552740016,60,0.8701001652923436,33,20.900031718141097,10.099968281858906,10.03535126517243,9.96464873482757,1-1,0.6175864247440627,0.5727923214904677,0.7967628377584428,0.7075797575791716,0.49592935978675784,0.8239874763649991,0.6733357770581829,0.8574579412566133,111.29941871971903,106.08660747317188,114.45428817058591,103.25433299236435,118.96911294461607,104.13996473144309,117.76092369340238,98.07609653283691,0.8912426529704937,2.0,0.1564490567057455,158.0,161.0,141.7,1.1150317572335922,1.1362032462949896,0.8270124362101721,0.5,2.061364545872246,13,16,71.5707401720766
34,Clemson,ACC,8-3,117.46584291958399,50,99.69738561639222,38,0.8683094827350958,34,20.523131404511336,10.47686859548866,11.003677390838822,6.9963226091611785,0-0,0.5114005452343122,0.5114005452343122,0,0.6651572857967923,0.5389922703494304,0.7562764636198868,0.7108850391163728,0.7685012109855575,109.0752513430553,107.43290646596583,111.84888056821329,103.47267780504534,0.0,0.0,121.09120534741145,100.99883578331864,0.8895843944170354,4.0,0.0021358650770074705,0.0,0.0,0.0,0,0,0.7562764636198868,0,0.37930131207880013,51,168,65.0173844508331
35,LSU,SEC,9-1,119.6261191284882,33,101.57241756011896,58,0.8677707783980725,35,20.983147827544524,10.016852172455474,9.091739630575843,8.908260369424157,0-0,0.496105365957241,0.496105365957241,0,0.6725411088450021,0.4374787485664306,0.8423083690461924,0.7015496224494472,0.8830637849385524,108.19514780731978,108.1402822143555,113.67891611643935,104.43719958829276,0.0,0.0,116.49469398279159,107.9329297846395,0.7063787095432239,2.0,0.07917759910010602,0.0,0.0,0.0,0,0,0.8423083690461924,0,1.134888975472014,28,79,69.38009599009857
36,Auburn,SEC,8-3,122.95608961333173,9,104.43483058516179,105,0.8673279167477004,36,18.93412772313089,13.065872276869111,8.72149433721646,9.27850566278354,0-0,0.6177726542946348,0.6177726542946348,0,0.7333253509077631,0.5766329201351469,0.8551972415086868,0.6087572218930739,0.6814072252214667,112.80240877532646,103.608867672319,113.39519065292014,99.11527665884668,0.0,0.0,123.74324543195607,106.04300136100414,0.8551016048223553,5.0,0.10651947824838381,0.0,0.0,0.0,0,0,0.8551972415086868,0,1.5188517832104602,18,48,69.2249560002309
37,Wisconsin,B10,7-3,118.18900147790232,45,101.10686453295646,51,0.8575673945164385,37,18.159355317643964,12.840644682356032,9.700817749355911,10.299182250644089,1-1,0.5671615044472121,0.49943411550445005,0.8380710602182608,0.7028737102930874,0.481441373026937,0.8246614957894701,0.6589950325783019,0.8355557600293246,110.37122028300537,106.22542692135957,114.88592481406486,103.47195031209786,117.50459616098456,101.13972804586356,105.80286426453257,110.33365021268935,0.38173023124056243,2.0,-0.02368382144395742,145.0,163.0,139.125,1.0422282120395328,1.1716082659478886,0.823171544186271,0.5,0.01286675114060487,62,207,70.96220399817354
38,Saint Louis,A10,9-1,116.5904194813532,56,100.09790658697696,42,0.8524516807335999,38,25.507664305486074,5.492335694513933,13.581731274704838,4.418268725295162,0-0,0.46928453854861407,0.46928453854861407,0,0.49865892569590414,0.3948266796484573,0.5736488811746158,0.8534551719425274,0.9023102837877324,106.89802934847981,108.55742473720743,104.39354963524617,103.95387736011679,0.0,0.0,104.57181786910749,91.3475939815485,0.8256094695250423,1.0,0.0692957873925657,0.0,0.0,0.0,0,0,0.5736488811746158,0,0.8696661702273383,34,91,73.31937178996667
39,Boise St.,MWC,7-3,114.21802925669587,76,98.20714841567283,24,0.8502861008073346,39,22.337412267216738,8.662587732783264,13.918461636789466,6.0815383632105355,0-0,0.5140509654827232,0.5140509654827232,0,0.6187101756947022,0.5479870192844133,0.6576079117203611,0.7820551697942401,0.7963700976842667,111.71676975983628,104.71660223519328,111.94934852391506,104.69239843471674,0.0,0.0,109.02324438626938,95.38720157732077,0.8229687577477764,3.0,-0.06676850797255807,0.0,0.0,0.0,0,0,0.6576079117203611,0,-0.4995199659307219,81,269,67.26589159890945
40,Wake Forest,ACC,8-3,116.96362821688413,54,100.8524989866967,50,0.846101455352761,40,19.112507919823656,11.887492080176342,9.782708831618024,8.217291168381978,0-0,0.525706399083595,0.525706399083595,0,0.6839918118558659,0.5302911205962794,0.7949978666544564,0.7003707699453308,0.7821936482944901,109.83299945036552,107.00559975911679,113.61155659136544,103.75602435506543,0.0,0.0,123.23344643878447,97.27995619622543,0.9381737167914032,3.0,-0.009646851931920608,0.0,0.0,0.0,0,0,0.7949978666544564,0,0.018670606556244307,61,185,71.05943015266655
41,Santa Clara,WCC,8-3,118.48315563938576,40,102.30155895783352,65,0.8440567744672663,41,22.297585726547094,8.702414273452911,12.504263398039233,5.495736601960767,0-0,0.5516454511250108,0.5516454511250108,0,0.5718153729159228,0.521232207087784,0.6083476593473565,0.7952501082510833,0.8346953624768668,109.33449084135232,104.78200271169763,109.54375593686586,104.87862892738957,0.0,0.0,108.12564983322824,91.75590958632782,0.86851178514632,1.0,-0.017216236122089446,0.0,0.0,0.0,0,0,0.6083476593473565,0,-0.05338462756573714,65,197,69.77156231501507
42,Texas,SEC,7-4,119.6738521439112,31,103.49052726423926,85,0.8416872074327739,42,17.04101461403068,13.95898538596932,8.088455783546463,9.911544216453539,0-0,0.47857723958459436,0.47857723958459436,0,0.6713224693729675,0.4275486826816539,0.8473813153166941,0.6538748206894844,0.7870253366272195,109.21470198898069,106.36042862969843,114.61439345612641,103.9011905377738,0.0,0.0,119.66321711951441,107.55144507368138,0.7733259916497375,4.0,-0.06084229856286072,0.0,0.0,0.0,0,0,0.8473813153166941,0,-0.5995086746225539,86,256,68.34092476546341
43,Villanova,BE,8-2,118.54044357656409,39,102.5644875388769,69,0.8408770372496882,43,19.7393429534108,11.260657046589197,11.271912432097137,8.728087567902863,0-0,0.4976180669804947,0.4976180669804947,0,0.684232164366474,0.5303407331176014,0.7688724515533537,0.7083298381208736,0.784544506098971,111.66276163244842,109.13295952890789,114.0083987684815,104.23641086236866,0.0,0.0,99.2512201769282,95.5409925156468,0.607814881825913,2.0,0.04129564745991254,0.0,0.0,0.0,0,0,0.7688724515533537,0,0.46470557883119884,48,123,64.26733260784916
44,Missouri,SEC,10-2,119.98723708193904,27,103.87655164377784,92,0.8399821367151696,44,18.42268919205855,12.577310807941451,8.15569603238643,9.84430396761357,0-0,0.3565133597581216,0.3565133597581216,0,0.6620874864791823,0.4010210574605376,0.8506354629926477,0.6832424018194474,0.836284079291825,104.9063673356639,111.24668262561714,113.75840460641129,105.00268029005137,0.0,0.0,111.95127209296592,104.06289013391594,0.6985252755379152,2.0,-0.0032557659670862105,0.0,0.0,0.0,0,0,0.8506354629926477,0,0.004837842141715454,63,176,68.71812113546929
45,Texas A&M,SEC,7-3,116.97709355794669,53,101.86357798212143,62,0.830750056573891,45,17.818249573675363,13.181750426324637,7.9087287221050335,10.091271277894965,0-0,0.47374465961637835,0.47374465961637835,0,0.6596048249283555,0.40370126780199966,0.8444240606307235,0.6935331655328153,0.8776905686784097,108.4617021305188,110.64771224729773,113.91768101188835,105.52665588379179,0.0,0.0,97.38122723860826,103.50422337297604,0.33153335260672084,2.0,-0.07400666402291112,0.0,0.0,0.0,0,0,0.8444240606307235,0,-0.7640059565625612,93,279,72.26105108455843
46,Utah St.,MWC,9-1,116.44806215800635,59,101.5114407259632,57,0.8290131317192262,46,23.044384250082597,7.955615749917401,13.32289902539688,6.677100974603119,0-0,0.493093553511497,0.493093553511497,0,0.6072704139257229,0.5133784632955044,0.6589109867723433,0.8005080635560383,0.8504537733318656,109.26126727840409,106.93717642686576,110.7940830299117,105.17687665441059,0.0,0.0,0.0,0.0,0.0,0.0,0.12437952438266986,0.0,0.0,0.0,0,0,0.6589109867723433,0,1.2016775850277006,24,30,69.26760948293013
47,Baylor,B12,7-2,121.8148748912072,17,106.31921004279098,137,0.8270195315761544,47,17.630880626000565,13.369119373999437,7.517039962444516,10.482960037555483,0-0,0.5852637857323607,0.5852637857323607,0,0.708634584678333,0.515824864112817,0.8478860495312055,0.6509349466170246,0.7933663225118436,109.82167562909557,105.12037095695115,110.46892034660661,98.35654101057492,0.0,0.0,130.65428139235226,114.85104912638437,0.8149596994749316,2.0,0.08792057312409018,0.0,0.0,0.0,0,0,0.8478860495312055,0,0.730223221775996,38,70,70.81403970525461
