Team,NetRtg,off,def,eFG%
St. John's,24.31,120.7,96.4,0.543
Arkansas,21.38,120.8,99.4,0.548
Connecticut,28.76,121.5,92.7,0.56
BYU,28.04,124.3,96.3,0.565
Arizona,32.37,125,92.6,0.566
Gonzaga,32.99,125.2,92.2,0.577
Purdue,29.97,127.4,97.5,0.581
Duke,32.57,124,91.5,0.584
Michigan,37.63,125.2,87.6,0.612
