team,Barthag,adjusted_tempo,efg,ft_rate,tov_pct,oreb_pct,three_pa_rate,assist_rate,cluster
California,0.745,68.546,56,38.9,15.9,30,42.2,56.9,4
San Francisco,0.744,65.403,53.4,38.7,16.4,32.1,49.3,58,5
Tulsa,0.743,68.196,58.5,45.7,15.8,33.6,48.8,61.2,5
Illinois St.,0.743,67.794,54.9,37,15.3,30.7,41.8,50.4,4
Grand Canyon,0.741,68.179,48.7,36.7,17.3,35,37,55.2,3
New Mexico,0.74,70.73,52.4,39,16.9,30.3,44.5,51.9,1
Providence,0.738,73.035,56.3,32.2,14.8,31,42.2,53.4,4
UC San Diego,0.734,70.646,58.2,32.6,15.1,26.7,42.8,54.8,4
Belmont,0.717,71.258,61.5,33.5,19.5,28.8,44,60.2,2
Wyoming,0.711,69.506,56.1,36.6,16.2,36.9,39.1,53.2,2
Minnesota,0.709,64.842,52.3,50.2,17.6,33.3,42.6,72,5
Nevada,0.7,67.475,48.2,46.7,13.3,34.3,30,57,3
South Carolina,0.691,67.304,52.2,36.1,14.4,28.4,48.2,56,4
Hawaii,0.687,70.565,52,50.2,19.9,32.4,38.2,49.8,1
Liberty,0.684,66.252,60,24.6,14.8,20.2,49.1,58.9,7
High Point,0.68,71.855,54.9,39.5,12.6,31.5,42.9,52.3,4
Georgetown,0.678,68.146,49,41.6,12.6,31.4,35,60.1,3
Miami OH,0.677,71.409,59.3,35.3,14.3,24.6,44.1,53.9,4
Mississippi St.,0.672,69.752,51.7,31.4,15.7,29.8,40.9,45.4,4
