Team,Adj OE,Adj DE,Barthag
Old Dominion,104.082,110.416,0.336
Coastal Carolina,97.993,103.969,0.336
Purdue Fort Wayne,106.3,113.013,0.331
Utah Tech,104.415,111.153,0.328
American,105.333,112.285,0.324
North Alabama,104.038,110.975,0.322
Tennessee Martin,102.993,109.876,0.322
Brown,98.051,104.622,0.322
Detroit Mercy,105.936,113.078,0.321
Bethune Cookman,105.66,112.88,0.319
UC Riverside,106.246,113.572,0.317
Chattanooga,106.382,113.74,0.317
Green Bay,108.668,116.247,0.315
Pepperdine,100.804,107.871,0.314
Eastern Washington,109.68,117.622,0.309
La Salle,101.037,108.41,0.308
Dartmouth,103.686,111.278,0.307
Houston Christian,107.452,115.341,0.307
Cal St. Fullerton,105.217,113.193,0.301
USC Upstate,102.892,110.716,0.301
Campbell,105.882,114.044,0.299
Radford,105.907,114.285,0.294
Evansville,101.274,109.286,0.294
Merrimack,103.158,111.328,0.294
Sacramento St.,103.359,111.675,0.291
Tennessee St.,100.97,109.229,0.288
Wagner,103.193,111.637,0.288
Denver,112.799,122.05,0.288
South Dakota,107.173,116.009,0.287
Hampton,102.959,111.517,0.285
Southeastern Louisiana,100.557,108.986,0.284
Princeton,99.095,107.531,0.281
Fairfield,104.541,113.515,0.279
Samford,104.142,113.206,0.277
Eastern Kentucky,105.197,114.501,0.274
Bellarmine,109.662,119.551,0.27
SIU Edwardsville,99.799,108.91,0.268
Drexel,103.659,113.151,0.267
UMBC,103.928,113.491,0.267
Northern Arizona,101.1,110.459,0.265
Long Beach St.,105.875,115.717,0.265
UNC Greensboro,104.346,114.06,0.264
Western Michigan,105.589,115.541,0.262
Howard,99.333,109.065,0.254
Tennessee Tech,103.005,113.252,0.251
Delaware,101.751,111.969,0.25
Texas Southern,102.568,112.984,0.247
Presbyterian,100.164,110.432,0.246
Saint Peter's,100.464,110.776,0.245
Norfolk St.,99.201,109.598,0.241
Alabama A&M,101.611,112.277,0.241
Mount St. Mary's,99.29,109.754,0.24
Alabama St.,105.408,116.645,0.238
Le Moyne,107.708,119.249,0.237
Bucknell,99.437,110.227,0.234
Western Carolina,102.026,113.185,0.233
Prairie View A&M,103.06,114.879,0.223
Cal St. Bakersfield,101.248,112.867,0.223
Boston University,109.759,122.391,0.222
Ball St.,99.034,110.543,0.22
Morehead St.,100.452,112.211,0.219
Albany,103.387,115.5,0.219
Manhattan,107.067,119.666,0.218
Central Connecticut,100.619,112.539,0.216
UMass Lowell,103.632,115.962,0.215
East Texas A&M,99.555,111.417,0.215
Northwestern St.,105.332,117.978,0.214
Louisiana,94.856,106.288,0.213
Sacred Heart,103.354,115.871,0.212
Oral Roberts,102.058,114.507,0.21
West Georgia,100.972,113.514,0.206
Northern Illinois,103.423,116.51,0.203
North Carolina A&T,100.386,113.308,0.199
Longwood,102.324,115.5,0.199
Eastern Illinois,99.082,112.104,0.195
New Hampshire,97.057,109.97,0.192
Arkansas Pine Bluff,101.056,114.768,0.188
Lehigh,100.409,114.042,0.188
Mercyhurst,98.495,111.923,0.187
Lafayette,102.237,116.323,0.185
Loyola Chicago,105.851,120.519,0.184
Cleveland St.,106.067,120.879,0.182
North Dakota,98.426,112.329,0.18
Air Force,97.927,111.828,0.179
Central Michigan,102.272,117.217,0.172
North Florida,104.969,120.342,0.172
Jackson St.,98.867,113.453,0.17
Jacksonville,100.096,115.187,0.166
Army,100.477,115.635,0.166
Florida A&M,98.014,112.812,0.166
Chicago St.,101.497,116.98,0.163
Alcorn St.,99.241,114.47,0.162
Bryant,97.708,112.776,0.161
Little Rock,99.627,115.124,0.159
Southern Utah,98.897,114.373,0.158
VMI,103.242,119.499,0.157
Georgia St.,96.124,111.277,0.157
Holy Cross,101.454,117.448,0.157
UMKC,95.255,111.009,0.147
Southern Indiana,96.918,113.059,0.145
IU Indy,103.857,121.304,0.144
Stonehill,94.89,111.352,0.137
Loyola MD,103.571,121.642,0.136
New Haven,94.874,111.642,0.133
Maryland Eastern Shore,97.081,114.576,0.129
Stetson,97.932,116.24,0.122
Rider,94.669,112.47,0.121
NJIT,93.745,111.62,0.118
Canisius,94.294,112.302,0.118
Louisiana Monroe,99.897,119.188,0.116
North Carolina Central,96.243,114.876,0.116
Fairleigh Dickinson,98.773,119.477,0.101
Saint Francis,96.51,117.015,0.098
The Citadel,99.836,121.113,0.098
Western Illinois,97.863,118.832,0.097
Delaware St.,90.963,111.343,0.089
Niagara,95.294,116.974,0.086
Maine,90.678,112.741,0.076
Gardner Webb,94.999,119.07,0.069
South Carolina St.,95.231,119.796,0.067
Morgan St.,97.604,123.297,0.064
Binghamton,97.057,123.966,0.057
Mississippi Valley St.,91.735,120.396,0.042
Coppin St.,91.849,124.955,0.028
